ISO3,Year,Month,Total,Domestic,International,Total_OS
ALB,2010,1,,,,117.35
ALB,2010,2,,,,86.535
ALB,2010,3,,,,103.795
ALB,2010,4,,,,102.038
ALB,2010,5,,,,109.037
ALB,2010,6,,,,126.159
ALB,2010,7,,,,181.095
ALB,2010,8,,,,226.824
ALB,2010,9,,,,148.392
ALB,2010,10,,,,110.346
ALB,2010,11,,,,93.342
ALB,2010,12,,,,131.909
ALB,2011,1,,,,135.743
ALB,2011,2,,,,101.417
ALB,2011,3,,,,128.551
ALB,2011,4,,,,141.269
ALB,2011,5,,,,136.785
ALB,2011,6,,,,150.219
ALB,2011,7,,,,199.495
ALB,2011,8,,,,234.296
ALB,2011,9,,,,174.046
ALB,2011,10,,,,142.567
ALB,2011,11,,,,124.214
ALB,2011,12,,,,148.471
ALB,2012,1,,,,144.599
ALB,2012,2,,,,97.871
ALB,2012,3,,,,118.722
ALB,2012,4,,,,127.083
ALB,2012,5,,,,122.242
ALB,2012,6,,,,137.492
ALB,2012,7,,,,174.767
ALB,2012,8,,,,200.973
ALB,2012,9,,,,153.348
ALB,2012,10,,,,130.603
ALB,2012,11,,,,121.274
ALB,2012,12,,,,136.357
ALB,2013,1,,,,126.844
ALB,2013,2,,,,101.829
ALB,2013,3,,,,128.941
ALB,2013,4,,,,125.627
ALB,2013,5,,,,133.094
ALB,2013,6,,,,150.111
ALB,2013,7,,,,190.259
ALB,2013,8,,,,216.834
ALB,2013,9,,,,172.452
ALB,2013,10,,,,147.855
ALB,2013,11,,,,120.15
ALB,2013,12,,,,143.346
ALB,2014,1,,,,143.816
ALB,2014,2,,,,109.584
ALB,2014,3,,,,132.521
ALB,2014,4,,,,137.687
ALB,2014,5,,,,141.343
ALB,2014,6,,,,153.692
ALB,2014,7,,,,186.278
ALB,2014,8,,,,212.567
ALB,2014,9,,,,173.358
ALB,2014,10,,,,150.81
ALB,2014,11,,,,127.68
ALB,2014,12,,,,140.969
ALB,2015,1,,,,135.863
ALB,2015,2,,,,111.018
ALB,2015,3,,,,138.878
ALB,2015,4,,,,150.029
ALB,2015,5,,,,157.779
ALB,2015,6,,,,173.449
ALB,2015,7,,,,213.546
ALB,2015,8,,,,237.808
ALB,2015,9,,,,193.7
ALB,2015,10,,,,167.372
ALB,2015,11,,,,140.165
ALB,2015,12,,,,157.437
ALB,2016,1,,,,149.063
ALB,2016,2,,,,127.095
ALB,2016,3,,,,147.463
ALB,2016,4,,,,148.33
ALB,2016,5,,,,162.017
ALB,2016,6,,,,181.574
ALB,2016,7,,,,223.442
ALB,2016,8,,,,258.959
ALB,2016,9,,,,214.726
ALB,2016,10,,,,200.303
ALB,2016,11,,,,175.763
ALB,2016,12,,,,206.365
ALB,2017,1,,,,191.759
ALB,2017,2,,,,140.368
ALB,2017,3,,,,175.914
ALB,2017,4,,,,189.763
ALB,2017,5,,,,192.938
ALB,2017,6,,,,229.584
ALB,2017,7,,,,293.064
ALB,2017,8,,,,328.317
ALB,2017,9,,,,267.104
ALB,2017,10,,,,216.022
ALB,2017,11,,,,186.164
ALB,2017,12,,,,219.341
ARE,2014,1,,,,8769.155
ARE,2014,2,,,,7778.523
ARE,2014,3,,,,8629.734
ARE,2014,4,,,,8541.271
ARE,2014,5,,,,7647.589
ARE,2014,6,,,,7648.147
ARE,2014,7,,,,7653.026
ARE,2014,8,,,,9409.965
ARE,2014,9,,,,8411.89
ARE,2014,10,,,,8440.697
ARE,2014,11,,,,7797.602
ARE,2014,12,,,,9129.764
ARE,2015,1,,,,9619.214
ARE,2015,2,,,,8420.037
ARE,2015,3,,,,9481.487
ARE,2015,4,,,,9190.248
ARE,2015,5,,,,8955.788
ARE,2015,6,,,,8538.044
ARE,2015,7,,,,9620.921
ARE,2015,8,,,,10465.962
ARE,2015,9,,,,9324.008
ARE,2015,10,,,,9031.53
ARE,2015,11,,,,8613.162
ARE,2015,12,,,,10081.008
ARE,2016,1,,,,10411.417
ARE,2016,2,,,,9078.376
ARE,2016,3,,,,10190.089
ARE,2016,4,,,,9854.315
ARE,2016,5,,,,9628.362
ARE,2016,6,,,,8540.116
ARE,2016,7,,,,10843.967
ARE,2016,8,,,,11075.807
ARE,2016,9,,,,10195.658
ARE,2016,10,,,,9197.659
ARE,2016,11,,,,9324.073
ARE,2016,12,,,,10843.978
ARE,2017,1,,,,11216.156
ARE,2017,2,,,,9686.152
ARE,2017,3,,,,10488.111
ARE,2017,4,,,,10660.273
ARE,2017,5,,,,9741.994
ARE,2017,6,,,,8683.602
ARE,2017,7,,,,11242.519
ARE,2017,8,,,,11502.817
ARE,2017,9,,,,10055.124
ARE,2017,10,,,,9438.491
ARE,2017,11,,,,7857.422
ARE,2017,12,,,,8835.494
ARG,2017,1,,,,3386.517
ARG,2017,2,,,,3065.808
ARG,2017,3,,,,3129.119
ARG,2017,4,,,,2797.697
ARG,2017,5,,,,2768.468
ARG,2017,6,,,,2573.685
ARM,2011,1,,,,108.9950397
ARM,2011,3,,,,97.306
ARM,2011,4,,,,112.474
ARM,2011,5,,,,122.956
ARM,2011,6,,,,143.098
ARM,2011,7,,,,182.039
ARM,2011,8,,,,198.969
ARM,2011,9,,,,155.375
ARM,2011,10,,,,141.707
ARM,2011,11,,,,123.086
ARM,2011,12,,,,126.143
ARM,2012,1,,,,109.867
ARM,2012,2,,,,91.013
ARM,2012,3,,,,102.01
ARM,2012,4,,,,126.595
ARM,2012,5,,,,133.009
ARM,2012,6,,,,153.839
ARM,2012,7,,,,186.649
ARM,2012,8,,,,205.444
ARM,2012,9,,,,162.852
ARM,2012,10,,,,150.588
ARM,2012,11,,,,129.786
ARM,2012,12,,,,136.383
ARM,2013,1,,,,112.382
ARM,2013,2,,,,91.17
ARM,2013,3,,,,102.915
ARM,2013,4,,,,116.846
ARM,2013,5,,,,125.114
ARM,2013,6,,,,145.066
ARM,2013,7,,,,179.581
ARM,2013,8,,,,197.731
ARM,2013,9,,,,169.613
ARM,2013,10,,,,162.383
ARM,2013,11,,,,135.59
ARM,2013,12,,,,153.319
ARM,2014,1,,,,128.986
ARM,2014,2,,,,100.356
ARM,2014,3,,,,121.958
ARM,2014,4,,,,136.73
ARM,2014,5,,,,171.431
ARM,2014,6,,,,208.408
ARM,2014,7,,,,242.098
ARM,2014,8,,,,265.54
ARM,2014,9,,,,197.602
ARM,2014,10,,,,179.602
ARM,2014,11,,,,144.096
ARM,2014,12,,,,148.251
ARM,2015,1,,,,131.916
ARM,2015,2,,,,99.275
ARM,2015,3,,,,117.288
ARM,2015,4,,,,144.4
ARM,2015,5,,,,158.292
ARM,2015,6,,,,176.791
ARM,2015,7,,,,212.999
ARM,2015,8,,,,227.607
ARM,2015,9,,,,171.659
ARM,2015,10,,,,155.611
ARM,2015,11,,,,130.707
ARM,2015,12,,,,153.122
ARM,2016,1,,,,137.303
ARM,2016,2,,,,113.729
ARM,2016,3,,,,133.666
ARM,2016,4,,,,131.829
ARM,2016,5,,,,147.319
ARM,2016,6,,,,175.276
ARM,2016,7,,,,227.41
ARM,2016,8,,,,255.252
ARM,2016,9,,,,220.716
ARM,2016,10,,,,205.426
ARM,2016,11,,,,168.596
ARM,2016,12,,,,189.018
ARM,2017,1,,,,168.741
ARM,2017,2,,,,132.039
ARM,2017,3,,,,165.512
ARM,2017,4,,,,183.108
ARM,2017,5,,,,198.182
ARM,2017,6,,,,211.252
